case_id,bank_txn_id,ledger_id,true_status,predicted_status,true_exception_type,match_method,match_confidence,reason,amount_difference,timestamp_difference,merchant_similarity,reference_similarity,is_correct,error_classification
SYNTH-CASE-000009,SYNTH-BANK-000009,SYNTH-LEDGER-000009,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI974622', amount (₹3009.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 5.0 mins.",0.0,5.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000013,SYNTH-BANK-000013,SYNTH-LEDGER-000013,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI697842', amount (₹1885.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins.",0.0,14.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000062,SYNTH-BANK-000062,SYNTH-LEDGER-000062,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI584969', amount (₹1389.26), and direction (DEBIT) matched exactly after normalization with timestamp diff of 12.0 mins.",0.0,12.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000077,SYNTH-BANK-000077,SYNTH-LEDGER-000077,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI895175', amount (₹1681.75), and direction (DEBIT) matched exactly after normalization with timestamp diff of 0.0 mins.",0.0,0.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000085,SYNTH-BANK-000085,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.7006,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-001041 (score 0.701)]. Top candidate reference 'UPI619004' has similarity 0.56.,359.92,3299.0,1.0,0.5556,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000096,SYNTH-BANK-000096,SYNTH-LEDGER-000096,MATCH,DUPLICATE,NONE,DUPLICATE_MULTIPLE_BANK,1.0,"Duplicate bank transaction detected sharing reference 'UPI918816', amount ₹733.48, and direction CREDIT with primary txn SYNTH-BANK-000203.",0.0,0.0,1.0,1.0,False,MISSED_MATCH
SYNTH-CASE-000098,SYNTH-BANK-000098,SYNTH-LEDGER-000098,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.949) with amount mismatch: Bank amount ₹669.73 vs ledger amount ₹656.34 (diff ₹13.39 / 2.04%).,13.39,8.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000109,SYNTH-BANK-000109,SYNTH-LEDGER-000109,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1199.49 vs ledger amount ₹1223.48 (diff ₹23.99 / 1.96%).,23.99,5.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000119,SYNTH-BANK-000119,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.74,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-000600 (score 0.740)]. Top candidate reference 'UPI346464' has similarity 0.67.,267.8,1847.0,1.0,0.6667,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000122,SYNTH-BANK-000122,SYNTH-LEDGER-000122,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹531.99 vs ledger amount ₹542.63 (diff ₹10.64 / 1.96%).,10.64,12.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
