case_id,bank_txn_id,ledger_id,true_status,predicted_status,true_exception_type,match_method,match_confidence,reason,amount_difference,timestamp_difference,merchant_similarity,reference_similarity,has_duplicate_submission,duplicate_of_bank_txn_id,is_correct,error_classification
SYNTH-CASE-000009,SYNTH-BANK-000009,SYNTH-LEDGER-000009,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI974622', amount (₹3009.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 5.0 mins. [Companion duplicate submission recorded]",0.0,5.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000013,SYNTH-BANK-000013,SYNTH-LEDGER-000013,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI697842', amount (₹1885.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000062,SYNTH-BANK-000062,SYNTH-LEDGER-000062,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI584969', amount (₹1389.26), and direction (DEBIT) matched exactly after normalization with timestamp diff of 12.0 mins. [Companion duplicate submission recorded]",0.0,12.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000077,SYNTH-BANK-000077,SYNTH-LEDGER-000077,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI895175', amount (₹1681.75), and direction (DEBIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000131,SYNTH-BANK-000131,SYNTH-LEDGER-000131,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI647727', amount (₹791.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000136,SYNTH-BANK-000136,SYNTH-LEDGER-000136,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI756801', amount (₹283.99), and direction (CREDIT) matched exactly after normalization with timestamp diff of 10.0 mins. [Companion duplicate submission recorded]",0.0,10.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000158,SYNTH-BANK-000158,SYNTH-LEDGER-000158,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI988293', amount (₹1715.62), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins. [Companion duplicate submission recorded]",0.0,15.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000167,SYNTH-BANK-000167,SYNTH-LEDGER-000167,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI217676', amount (₹1858.28), and direction (DEBIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000181,SYNTH-BANK-000181,SYNTH-LEDGER-000181,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI865430', amount (₹1392.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000196,SYNTH-BANK-000196,SYNTH-LEDGER-000196,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI631951', amount (₹1721.32), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000204,SYNTH-BANK-000204,SYNTH-LEDGER-000204,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI116968', amount (₹2501.80), and direction (CREDIT) matched exactly after normalization with timestamp diff of 3.0 mins. [Companion duplicate submission recorded]",0.0,3.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000216,SYNTH-BANK-000216,SYNTH-LEDGER-000216,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI446214', amount (₹1036.75), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000221,SYNTH-BANK-000221,SYNTH-LEDGER-000221,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI289460', amount (₹1692.56), and direction (CREDIT) matched exactly after normalization with timestamp diff of 13.0 mins. [Companion duplicate submission recorded]",0.0,13.0,1.0,1.0,True,,False,FALSE_MATCH
