transaction_id,payer_id,merchant_id,merchant,transaction_description,category,amount,payment_method,timestamp,hour,amount_zscore_vs_customer_history,is_new_merchant_for_customer,customer_txn_count_so_far,days_since_last_transaction,requires_review
TX000952,PAYER00000,MERCH0007,Ola Cabs,UPI-OLACABS-154838,Transport,65.16,UPI,2026-03-25 22:29:00,22,0.0,True,0,-1,0
TX003960,PAYER00000,MERCH0022,Netflix,NETFLIX*SUBSCRIPTION,Entertainment,280.47,Debit Card,2026-05-08 15:02:00,15,0.0,True,0,43,0
TX000241,PAYER00000,MERCH0017,Airtel Broadband,AIRTELBROADBAN TXN 705189,Utilities,421.59,UPI,2026-07-12 15:22:00,15,0.0,True,0,65,0
TX010919,PAYER00000,MERCH0001,Swiggy,UPI-SWIGGY-375886,Food,131.6,UPI,2026-07-17 18:51:00,18,0.0,True,0,5,0
TX006734,PAYER00000,MERCH0020,Landlord NEFT,RENT PAYMENT NEFT 483157,Rent,28128.0,UPI,2026-07-26 11:47:00,11,0.0,True,0,8,0
TX011288,PAYER00000,MERCH0021,Employer Corp Payroll,EMPLOYERCORPPA SALARY CREDIT 224355,Salary,33907.1,UPI,2026-08-03 07:50:00,7,0.0,True,0,7,1
TX006805,PAYER00000,MERCH0027,Udemy,UDEMY*SUBSCRIPTION,Education,705.96,UPI,2026-08-07 17:15:00,17,0.0,True,0,4,0
TX008262,PAYER00001,MERCH0006,Uber,UBER TXN 612393,Transport,285.02,UPI,2026-02-26 18:43:00,18,0.0,True,0,-1,0
TX004375,PAYER00001,MERCH0021,Employer Corp Payroll,NEFT-EMPLOYERCORPPA-SALARY,Salary,69828.4,UPI,2026-02-27 18:58:00,18,0.0,True,0,1,0
TX006070,PAYER00001,MERCH0026,Practo Consultation,PRACTOCONSULTA PUN 518909,Healthcare,1640.78,UPI,2026-02-28 05:39:00,5,0.0,True,0,0,0
TX003170,PAYER00001,MERCH0017,Airtel Broadband,UPI-AIRTELBROADBAN-817740,Utilities,902.47,Credit Card,2026-02-28 07:06:00,7,0.0,True,0,0,0
TX006314,PAYER00001,MERCH0011,Amazon.in,AMAZONIN INDIA PVT LTD,Shopping,492.79,UPI,2026-03-01 09:59:00,9,0.0,True,0,1,0
TX008618,PAYER00001,MERCH0001,Swiggy,SWIGGY,Food,223.99,UPI,2026-03-01 22:21:00,22,0.0,True,0,0,0
TX005693,PAYER00001,MERCH0019,Municipal Water Bill,MUNICIPALWATER,Utilities,307.58,UPI,2026-03-02 14:04:00,14,0.0,True,1,0,0
TX009043,PAYER00001,MERCH0020,Landlord NEFT,NEFT-LANDLORD-RENT-682344,Rent,17301.32,Debit Card,2026-03-05 12:19:00,12,0.0,True,0,2,0
TX002361,PAYER00001,MERCH0009,IndianOil Petrol Pump,UPI-INDIANOILPETRO-762413,Transport,180.87,UPI,2026-03-07 17:56:00,17,0.0,True,1,2,0
TX007006,PAYER00001,MERCH0024,Spotify,SPOTIFY*SUBSCRIPTION,Entertainment,204.36,Net Banking,2026-03-07 18:51:00,18,0.0,True,0,0,0
