transaction_description,category
SWIGGY*BLR0091 BANGALORE,Food & Dining
ZOMATO RESTAURANT MUMBAI,Food & Dining
DOMINOS PIZZA ONLINE,Food & Dining
CHAIPOI CAFE INDIRANAGAR,Food & Dining
MCDONALDS CONNAUGHT PLACE,Food & Dining
STARBUCKS COFFEE KORAMANGALA,Food & Dining
UBER INDIA RIDES MUMBAI,Travel & Commute
OLA CABS TRIP 9821,Travel & Commute
RAPIDO AUTO RIDE BANGALORE,Travel & Commute
IRCTC TICKET BOOKING NEW DELHI,Travel & Commute
MAKEMYTRIP FLIGHT TICKETS,Travel & Commute
INDIGO AIRLINES FLIGHT BOOKING,Travel & Commute
BESCOM ELECTRICITY BILL,Utilities
TATAPOWER BILL PAYMENT MUMBAI,Utilities
AIRTEL BROADBAND BILL,Utilities
JIO FIBER MONTHLY RECHARGE,Utilities
MAHANAGAR GAS LIMITED,Utilities
BWSSB WATER SUPPLY BILL,Utilities
AMAZON PAY INDIA SELLER SUPPLIES,Office Supplies
FLIPKART OFFICE CHAIRS ORDER,Office Supplies
STATIONERY MART BANGALORE,Office Supplies
PAPER & PRINT SERVICES PVT LTD,Office Supplies
CARTRIDGE WORLD TONER REFILL,Office Supplies
IKEA OFFICE DESKS FURNITURE,Office Supplies
SALARY ACME LTD PAYROLL AUG,Payroll
SALARY DISBURSEMENT EMP1042,Payroll
MONTHLY WAGES TRANSFER WORKERS,Payroll
BONUS PAYOUT MARKETING TEAM,Payroll
CONTRACTOR STIPEND INTERNS,Payroll
DIRECTOR REMUNERATION ACME,Payroll
AWS CLOUD SERVICES IRELAND,Software & Cloud
GOOGLE WORKSPACE GSUITE MONTHLY,Software & Cloud
ZOOM VIDEO COMMUNICATIONS,Software & Cloud
GITHUB ENTERPRISE SUBSCRIPTION,Software & Cloud
SLACK TECHNOLOGIES PRO PLAN,Software & Cloud
NOTION LABS WORKSPACE TEAM,Software & Cloud
BLUEDART EXPRESS COURIER,Logistics & Shipping
DELHIVERY LOGISTICS SERVICE,Logistics & Shipping
DTDC COURIER CARGO SHIPMENT,Logistics & Shipping
FEDEX EXPRESS INDIA PARCEL,Logistics & Shipping
EKART LOGISTICS HUB RETURN,Logistics & Shipping
SHIPROCKET SHIPPING FEES,Logistics & Shipping
